id,audio,text,duration,speaker,language
ben_eng_concat.147,audio/ben_eng_concat.147.wav,অগ্নি rescue দল শেষ পর্যন্ত রাত 11:35 এর মধ্যে আগুন নেভায়।,6.796,ben-eng_spk0,ben-eng
ben_eng_concat.144,audio/ben_eng_concat.144.wav,"Rossby number, যত smaller হবে, চৌম্বকীয় বিপরীতমুখীতার সাপেক্ষে নক্ষত্রটি তত less সক্রিয় হবে।",10.503,ben-eng_spk0,ben-eng
ben_eng_concat.297,audio/ben_eng_concat.297.wav,"""গত week, METI announced করেছিল যে, অ্যাপল এরকম 34 অতিরিক্ত উত্তেজিত ঘটনার তথ্য incidents, যাকে সংস্থা """"গুরুতর নয়"""" বলে অভিহিত করেছে।""",13.899,ben-eng_spk0,ben-eng
ben_eng_concat.311,audio/ben_eng_concat.311.wav,তরকারি হচ্ছে herbs এবং মশলার together herbs meat বা সবজি।,7.363,ben-eng_spk0,ben-eng
ben_eng_concat.206,audio/ben_eng_concat.206.wav,হাইতিয়ান ইনস্টিটিউট ফর Justice অ্যান্ড Democracy এর স্বতন্ত্র সমীক্ষাতে উল্লেখ করা হয়েছে যে নেপালি জাতিসংঘের peacekeeping বাহিনী অজান্তেই to Haiti. এই রোগটি brought এসেছিল।,20.555,ben-eng_spk0,ben-eng
ben_eng_concat.74,audio/ben_eng_concat.74.wav,"Cancellation policies পরিবর্তিত হতে পারে, তবে মার্চের শেষ পর্যন্ত গৃহীত coronavirus-based বাতিলকরণ নীতিগুলো জুলাই ২০২০ পর্যন্ত extend নয়, when অলিম্পিক গেমস হওয়ার scheduled. রয়েছে।",20.535,ben-eng_spk0,ben-eng
ben_eng_concat.278,audio/ben_eng_concat.278.wav,"war, শষ হওয়ার দুবছরের মধ্যে পুরনো সহযোগীরা হয়ে গিয়েছিল প্রতিপক্ষ এবং Cold the War সূচনা হয়েছিল।",10.447,ben-eng_spk0,ben-eng
ben_eng_concat.77,audio/ben_eng_concat.77.wav,"যুদ্ধ ছড়িয়ে পড়ার পরপরই, ব্রিটেন জার্মানির ওপর একটি নৌ blockade initiated Germany.",7.144,ben-eng_spk0,ben-eng
ben_eng_concat.251,audio/ben_eng_concat.251.wav,পরবর্তীকালে তাকে কেমব্রিজের অ্যাডেনব্রুক to Hospital স্থানান্তর করা হয়।,7.116,ben-eng_spk0,ben-eng
ben_eng_concat.85,audio/ben_eng_concat.85.wav,"However, যক্ষায় আক্রান্ত entire জনগোষ্ঠীর মধ্যে এক্স-ডি-আর-যক্ষায় আক্রান্তের অনুপাত এখনো পর্যন্ত কম বলেই মনে হচ্ছে; যেটি দক্ষিণ আফ্রিকায় যে কোনো moment in মোট ৩৩০,০০০ আক্রান্তের মধ্যে ৬০০০ people Africa.",21.131,ben-eng_spk0,ben-eng
ben_eng_concat.88,audio/ben_eng_concat.88.wav,"পুলিশ superintendent চন্দ্র শেখর সোলঙ্কি জানিয়েছিলেন, accused মুখ ঢাকা অবস্থায় appeared in court হাজির হয়েছিল।",12.435,ben-eng_spk0,ben-eng
ben_eng_concat.157,audio/ben_eng_concat.157.wav,"Wednesday's অনুষ্ঠানের পরেও, Carpanedo চ্যাম্পিয়নশিপে দুটি পৃথক দৌড় প্রতিযোগিতায় অংশ Championships.",10.563,ben-eng_spk0,ben-eng
ben_eng_concat.305,audio/ben_eng_concat.305.wav,"দুটি dry powders together মোচড় দিন এবং তারপর, পরিষ্কার ভেজা hands, দিয়ে, একটি বলের মধ্যে squeeze দিন।",12.571,ben-eng_spk0,ben-eng
ben_eng_concat.307,audio/ben_eng_concat.307.wav,"মনে seem হয় ছাগল প্রথম গৃহপালিত হয়েছিল প্রায় ১০,০০০ বছর আগে ইরানের জাগ্রোস পর্বতমালায়।",9.02,ben-eng_spk0,ben-eng
ben_eng_concat.171,audio/ben_eng_concat.171.wav,"আপনার The hands আর্দ্রতা বাইরের স্তরের সাথে প্রতিক্রিয়া করবে, যা অদ্ভুত feel funny হবে আর এটি এক ধরণের shell. সৃষ্টি করবে।",14.299,ben-eng_spk0,ben-eng
ben_eng_concat.330,audio/ben_eng_concat.330.wav,এটি South আফ্রিকার প্রধান the attractions একটি এবং একে দক্ষিণ আফ্রিকার জাতীয় উদ্যানসমূহের (স্যানপার্কস) প্রধান বলে ধরা হয়।,13.059,ben-eng_spk0,ben-eng
ben_eng_concat.348,audio/ben_eng_concat.348.wav,"মানুষ antiquity, থেকেই gold, রূপা, তামার মত বিভিন্ন মৌলিক chemical উপাদানগুলির সাথে পরিচিত, কারণ, এগুলি native রূপে nature থেকেই পাওয়া যায় এবং primitive হাতিয়ারগুলির মূল উপাদান এই খনিজের are relatively simple tools.",23.998,ben-eng_spk0,ben-eng
ben_eng_concat.26,audio/ben_eng_concat.26.wav,অনেক প্রোটন এবং নিউট্রনের সাথে নিউক্লিয়াসকে জুড়তে যে শক্তি প্রয়োজন হয় সেই নীতিতে ফিউশন bomb works করে।,11.068,ben-eng_spk0,ben-eng
